Dataset,Analysis_Type,Feature_or_Method,Method,Pct_Outliers
MIMIC-IV,Multivariate,All,Isolation Forest,1.0
MIMIC-IV,Multivariate,All,LOF,1.0
MIMIC-IV,Multivariate,All,Mahalanobis,2.99
MIMIC-IV,Univariate,QRS_Dur_Global,IQR,3.26
MIMIC-IV,Univariate,QRS_Dur_Global,Z-Score,0.82
MIMIC-IV,Univariate,QRS_Dur_Global,MAD,0.96
MIMIC-IV,Univariate,QRS_Dur_Global_count,IQR,1.37
MIMIC-IV,Univariate,QRS_Dur_Global_count,Z-Score,0.86
MIMIC-IV,Univariate,QRS_Dur_Global_count,MAD,1.37
MIMIC-IV,Univariate,QRS_Dur_Global_iqr,IQR,1.92
MIMIC-IV,Univariate,QRS_Dur_Global_iqr,Z-Score,1.07
MIMIC-IV,Univariate,QRS_Dur_Global_iqr,MAD,1.0
MIMIC-IV,Univariate,Q_Amp_I,IQR,9.7
MIMIC-IV,Univariate,Q_Amp_I,Z-Score,1.29
MIMIC-IV,Univariate,Q_Amp_I,MAD,7.09
MIMIC-IV,Univariate,Q_Amp_II,IQR,15.88
MIMIC-IV,Univariate,Q_Amp_II,Z-Score,1.52
MIMIC-IV,Univariate,Q_Amp_II,MAD,11.9
MIMIC-IV,Univariate,Q_Amp_III,IQR,7.74
MIMIC-IV,Univariate,Q_Amp_III,Z-Score,0.98
MIMIC-IV,Univariate,Q_Amp_III,MAD,4.21
MIMIC-IV,Univariate,Q_Amp_III_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_III_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_III_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_III_iqr,IQR,8.63
MIMIC-IV,Univariate,Q_Amp_III_iqr,Z-Score,0.2
MIMIC-IV,Univariate,Q_Amp_III_iqr,MAD,8.49
MIMIC-IV,Univariate,Q_Amp_II_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_II_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_II_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_II_iqr,IQR,8.39
MIMIC-IV,Univariate,Q_Amp_II_iqr,Z-Score,0.16
MIMIC-IV,Univariate,Q_Amp_II_iqr,MAD,8.23
MIMIC-IV,Univariate,Q_Amp_I_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_I_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_I_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_I_iqr,IQR,7.81
MIMIC-IV,Univariate,Q_Amp_I_iqr,Z-Score,0.21
MIMIC-IV,Univariate,Q_Amp_I_iqr,MAD,7.18
MIMIC-IV,Univariate,Q_Amp_V1,IQR,9.17
MIMIC-IV,Univariate,Q_Amp_V1,Z-Score,0.36
MIMIC-IV,Univariate,Q_Amp_V1,MAD,6.24
MIMIC-IV,Univariate,Q_Amp_V1_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_V1_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_V1_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_V1_iqr,IQR,8.67
MIMIC-IV,Univariate,Q_Amp_V1_iqr,Z-Score,0.07
MIMIC-IV,Univariate,Q_Amp_V1_iqr,MAD,8.77
MIMIC-IV,Univariate,Q_Amp_V2,IQR,3.79
MIMIC-IV,Univariate,Q_Amp_V2,Z-Score,0.63
MIMIC-IV,Univariate,Q_Amp_V2,MAD,2.11
MIMIC-IV,Univariate,Q_Amp_V2_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_V2_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_V2_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_V2_iqr,IQR,7.75
MIMIC-IV,Univariate,Q_Amp_V2_iqr,Z-Score,0.17
MIMIC-IV,Univariate,Q_Amp_V2_iqr,MAD,7.35
MIMIC-IV,Univariate,Q_Amp_V3,IQR,2.51
MIMIC-IV,Univariate,Q_Amp_V3,Z-Score,0.76
MIMIC-IV,Univariate,Q_Amp_V3,MAD,1.4
MIMIC-IV,Univariate,Q_Amp_V3_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_V3_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_V3_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_V3_iqr,IQR,7.87
MIMIC-IV,Univariate,Q_Amp_V3_iqr,Z-Score,0.19
MIMIC-IV,Univariate,Q_Amp_V3_iqr,MAD,7.83
MIMIC-IV,Univariate,Q_Amp_V4,IQR,6.97
MIMIC-IV,Univariate,Q_Amp_V4,Z-Score,0.98
MIMIC-IV,Univariate,Q_Amp_V4,MAD,18.99
MIMIC-IV,Univariate,Q_Amp_V4_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_V4_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_V4_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_V4_iqr,IQR,9.15
MIMIC-IV,Univariate,Q_Amp_V4_iqr,Z-Score,0.21
MIMIC-IV,Univariate,Q_Amp_V4_iqr,MAD,10.37
MIMIC-IV,Univariate,Q_Amp_V5,IQR,19.23
MIMIC-IV,Univariate,Q_Amp_V5,Z-Score,1.1
MIMIC-IV,Univariate,Q_Amp_V5,MAD,16.0
MIMIC-IV,Univariate,Q_Amp_V5_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_V5_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_V5_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_V5_iqr,IQR,10.05
MIMIC-IV,Univariate,Q_Amp_V5_iqr,Z-Score,0.18
MIMIC-IV,Univariate,Q_Amp_V5_iqr,MAD,10.62
MIMIC-IV,Univariate,Q_Amp_V6,IQR,13.81
MIMIC-IV,Univariate,Q_Amp_V6,Z-Score,0.65
MIMIC-IV,Univariate,Q_Amp_V6,MAD,10.81
MIMIC-IV,Univariate,Q_Amp_V6_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_V6_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_V6_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_V6_iqr,IQR,9.65
MIMIC-IV,Univariate,Q_Amp_V6_iqr,Z-Score,0.11
MIMIC-IV,Univariate,Q_Amp_V6_iqr,MAD,9.7
MIMIC-IV,Univariate,Q_Amp_aVF,IQR,12.98
MIMIC-IV,Univariate,Q_Amp_aVF,Z-Score,0.91
MIMIC-IV,Univariate,Q_Amp_aVF,MAD,8.63
MIMIC-IV,Univariate,Q_Amp_aVF_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_aVF_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_aVF_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_aVF_iqr,IQR,8.53
MIMIC-IV,Univariate,Q_Amp_aVF_iqr,Z-Score,0.08
MIMIC-IV,Univariate,Q_Amp_aVF_iqr,MAD,8.01
MIMIC-IV,Univariate,Q_Amp_aVL,IQR,7.43
MIMIC-IV,Univariate,Q_Amp_aVL,Z-Score,1.05
MIMIC-IV,Univariate,Q_Amp_aVL,MAD,5.66
MIMIC-IV,Univariate,Q_Amp_aVL_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_aVL_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_aVL_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_aVL_iqr,IQR,8.5
MIMIC-IV,Univariate,Q_Amp_aVL_iqr,Z-Score,0.12
MIMIC-IV,Univariate,Q_Amp_aVL_iqr,MAD,8.48
MIMIC-IV,Univariate,Q_Amp_aVR,IQR,8.59
MIMIC-IV,Univariate,Q_Amp_aVR,Z-Score,0.67
MIMIC-IV,Univariate,Q_Amp_aVR,MAD,5.98
MIMIC-IV,Univariate,Q_Amp_aVR_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_aVR_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_aVR_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_aVR_iqr,IQR,7.72
MIMIC-IV,Univariate,Q_Amp_aVR_iqr,Z-Score,0.02
MIMIC-IV,Univariate,Q_Amp_aVR_iqr,MAD,7.28
MIMIC-IV,Univariate,RR_Mean_Global,IQR,1.34
MIMIC-IV,Univariate,RR_Mean_Global,Z-Score,0.75
MIMIC-IV,Univariate,RR_Mean_Global,MAD,0.5
MIMIC-IV,Univariate,RR_Mean_Global_count,IQR,1.38
MIMIC-IV,Univariate,RR_Mean_Global_count,Z-Score,0.87
MIMIC-IV,Univariate,RR_Mean_Global_count,MAD,1.37
MIMIC-IV,Univariate,RR_Mean_Global_iqr,IQR,13.75
MIMIC-IV,Univariate,RR_Mean_Global_iqr,Z-Score,2.14
MIMIC-IV,Univariate,RR_Mean_Global_iqr,MAD,18.64
MIMIC-IV,Univariate,R_Amp_I,IQR,5.65
MIMIC-IV,Univariate,R_Amp_I,Z-Score,0.08
MIMIC-IV,Univariate,R_Amp_I,MAD,1.63
MIMIC-IV,Univariate,R_Amp_II,IQR,6.21
MIMIC-IV,Univariate,R_Amp_II,Z-Score,0.07
MIMIC-IV,Univariate,R_Amp_II,MAD,2.57
MIMIC-IV,Univariate,R_Amp_III,IQR,1.12
MIMIC-IV,Univariate,R_Amp_III,Z-Score,0.08
MIMIC-IV,Univariate,R_Amp_III,MAD,0.27
MIMIC-IV,Univariate,R_Amp_III_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_III_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_III_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_III_iqr,IQR,5.87
MIMIC-IV,Univariate,R_Amp_III_iqr,Z-Score,0.13
MIMIC-IV,Univariate,R_Amp_III_iqr,MAD,4.91
MIMIC-IV,Univariate,R_Amp_II_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_II_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_II_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_II_iqr,IQR,6.51
MIMIC-IV,Univariate,R_Amp_II_iqr,Z-Score,0.15
MIMIC-IV,Univariate,R_Amp_II_iqr,MAD,5.57
MIMIC-IV,Univariate,R_Amp_I_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_I_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_I_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_I_iqr,IQR,5.49
MIMIC-IV,Univariate,R_Amp_I_iqr,Z-Score,0.06
MIMIC-IV,Univariate,R_Amp_I_iqr,MAD,4.34
MIMIC-IV,Univariate,R_Amp_V1,IQR,10.14
MIMIC-IV,Univariate,R_Amp_V1,Z-Score,0.31
MIMIC-IV,Univariate,R_Amp_V1,MAD,4.69
MIMIC-IV,Univariate,R_Amp_V1_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_V1_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_V1_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_V1_iqr,IQR,6.57
MIMIC-IV,Univariate,R_Amp_V1_iqr,Z-Score,0.15
MIMIC-IV,Univariate,R_Amp_V1_iqr,MAD,5.88
MIMIC-IV,Univariate,R_Amp_V2,IQR,9.06
MIMIC-IV,Univariate,R_Amp_V2,Z-Score,0.31
MIMIC-IV,Univariate,R_Amp_V2,MAD,3.14
MIMIC-IV,Univariate,R_Amp_V2_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_V2_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_V2_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_V2_iqr,IQR,6.62
MIMIC-IV,Univariate,R_Amp_V2_iqr,Z-Score,0.28
MIMIC-IV,Univariate,R_Amp_V2_iqr,MAD,5.79
MIMIC-IV,Univariate,R_Amp_V3,IQR,0.71
MIMIC-IV,Univariate,R_Amp_V3,Z-Score,0.25
MIMIC-IV,Univariate,R_Amp_V3,MAD,0.7
MIMIC-IV,Univariate,R_Amp_V3_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_V3_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_V3_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_V3_iqr,IQR,7.01
MIMIC-IV,Univariate,R_Amp_V3_iqr,Z-Score,0.32
MIMIC-IV,Univariate,R_Amp_V3_iqr,MAD,6.32
MIMIC-IV,Univariate,R_Amp_V4,IQR,0.4
MIMIC-IV,Univariate,R_Amp_V4,Z-Score,0.25
MIMIC-IV,Univariate,R_Amp_V4,MAD,0.19
MIMIC-IV,Univariate,R_Amp_V4_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_V4_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_V4_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_V4_iqr,IQR,6.62
MIMIC-IV,Univariate,R_Amp_V4_iqr,Z-Score,0.24
MIMIC-IV,Univariate,R_Amp_V4_iqr,MAD,5.73
MIMIC-IV,Univariate,R_Amp_V5,IQR,6.91
MIMIC-IV,Univariate,R_Amp_V5,Z-Score,0.29
MIMIC-IV,Univariate,R_Amp_V5,MAD,2.17
MIMIC-IV,Univariate,R_Amp_V5_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_V5_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_V5_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_V5_iqr,IQR,6.34
MIMIC-IV,Univariate,R_Amp_V5_iqr,Z-Score,0.22
MIMIC-IV,Univariate,R_Amp_V5_iqr,MAD,5.44
MIMIC-IV,Univariate,R_Amp_V6,IQR,8.52
MIMIC-IV,Univariate,R_Amp_V6,Z-Score,0.3
MIMIC-IV,Univariate,R_Amp_V6,MAD,3.08
MIMIC-IV,Univariate,R_Amp_V6_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_V6_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_V6_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_V6_iqr,IQR,6.51
MIMIC-IV,Univariate,R_Amp_V6_iqr,Z-Score,0.16
MIMIC-IV,Univariate,R_Amp_V6_iqr,MAD,5.68
MIMIC-IV,Univariate,R_Amp_aVF,IQR,3.62
MIMIC-IV,Univariate,R_Amp_aVF,Z-Score,0.07
MIMIC-IV,Univariate,R_Amp_aVF,MAD,0.97
MIMIC-IV,Univariate,R_Amp_aVF_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_aVF_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_aVF_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_aVF_iqr,IQR,5.67
MIMIC-IV,Univariate,R_Amp_aVF_iqr,Z-Score,0.06
MIMIC-IV,Univariate,R_Amp_aVF_iqr,MAD,4.62
MIMIC-IV,Univariate,R_Amp_aVL,IQR,1.27
MIMIC-IV,Univariate,R_Amp_aVL,Z-Score,0.06
MIMIC-IV,Univariate,R_Amp_aVL,MAD,0.37
MIMIC-IV,Univariate,R_Amp_aVL_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_aVL_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_aVL_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_aVL_iqr,IQR,6.19
MIMIC-IV,Univariate,R_Amp_aVL_iqr,Z-Score,0.12
MIMIC-IV,Univariate,R_Amp_aVL_iqr,MAD,5.23
MIMIC-IV,Univariate,R_Amp_aVR,IQR,7.97
MIMIC-IV,Univariate,R_Amp_aVR,Z-Score,0.05
MIMIC-IV,Univariate,R_Amp_aVR,MAD,2.37
MIMIC-IV,Univariate,R_Amp_aVR_count,IQR,1.38
MIMIC-IV,Univariate,R_Amp_aVR_count,Z-Score,0.87
MIMIC-IV,Univariate,R_Amp_aVR_count,MAD,1.37
MIMIC-IV,Univariate,R_Amp_aVR_iqr,IQR,6.33
MIMIC-IV,Univariate,R_Amp_aVR_iqr,Z-Score,0.02
MIMIC-IV,Univariate,R_Amp_aVR_iqr,MAD,5.42
MIMIC-IV,Univariate,ST_Elev_I,IQR,7.83
MIMIC-IV,Univariate,ST_Elev_I,Z-Score,0.42
MIMIC-IV,Univariate,ST_Elev_I,MAD,4.77
MIMIC-IV,Univariate,ST_Elev_II,IQR,7.25
MIMIC-IV,Univariate,ST_Elev_II,Z-Score,0.35
MIMIC-IV,Univariate,ST_Elev_II,MAD,4.29
MIMIC-IV,Univariate,ST_Elev_III,IQR,10.16
MIMIC-IV,Univariate,ST_Elev_III,Z-Score,0.55
MIMIC-IV,Univariate,ST_Elev_III,MAD,7.02
MIMIC-IV,Univariate,ST_Elev_III_count,IQR,1.38
MIMIC-IV,Univariate,ST_Elev_III_count,Z-Score,0.87
MIMIC-IV,Univariate,ST_Elev_III_count,MAD,1.37
MIMIC-IV,Univariate,ST_Elev_III_iqr,IQR,7.9
MIMIC-IV,Univariate,ST_Elev_III_iqr,Z-Score,0.04
MIMIC-IV,Univariate,ST_Elev_III_iqr,MAD,7.49
MIMIC-IV,Univariate,ST_Elev_II_count,IQR,1.38
MIMIC-IV,Univariate,ST_Elev_II_count,Z-Score,0.87
MIMIC-IV,Univariate,ST_Elev_II_count,MAD,1.37
MIMIC-IV,Univariate,ST_Elev_II_iqr,IQR,7.28
MIMIC-IV,Univariate,ST_Elev_II_iqr,Z-Score,0.03
MIMIC-IV,Univariate,ST_Elev_II_iqr,MAD,6.74
MIMIC-IV,Univariate,ST_Elev_I_count,IQR,1.38
MIMIC-IV,Univariate,ST_Elev_I_count,Z-Score,0.87
MIMIC-IV,Univariate,ST_Elev_I_count,MAD,1.37
MIMIC-IV,Univariate,ST_Elev_I_iqr,IQR,6.85
MIMIC-IV,Univariate,ST_Elev_I_iqr,Z-Score,0.04
MIMIC-IV,Univariate,ST_Elev_I_iqr,MAD,6.28
MIMIC-IV,Univariate,ST_Elev_V1,IQR,11.62
MIMIC-IV,Univariate,ST_Elev_V1,Z-Score,0.18
MIMIC-IV,Univariate,ST_Elev_V1,MAD,8.35
MIMIC-IV,Univariate,ST_Elev_V1_count,IQR,1.38
MIMIC-IV,Univariate,ST_Elev_V1_count,Z-Score,0.87
MIMIC-IV,Univariate,ST_Elev_V1_count,MAD,1.37
MIMIC-IV,Univariate,ST_Elev_V1_iqr,IQR,8.13
MIMIC-IV,Univariate,ST_Elev_V1_iqr,Z-Score,0.03
MIMIC-IV,Univariate,ST_Elev_V1_iqr,MAD,8.22
MIMIC-IV,Univariate,ST_Elev_V2,IQR,9.01
MIMIC-IV,Univariate,ST_Elev_V2,Z-Score,0.22
MIMIC-IV,Univariate,ST_Elev_V2,MAD,6.4
MIMIC-IV,Univariate,ST_Elev_V2_count,IQR,1.38
MIMIC-IV,Univariate,ST_Elev_V2_count,Z-Score,0.87
MIMIC-IV,Univariate,ST_Elev_V2_count,MAD,1.37
MIMIC-IV,Univariate,ST_Elev_V2_iqr,IQR,7.99
MIMIC-IV,Univariate,ST_Elev_V2_iqr,Z-Score,0.06
MIMIC-IV,Univariate,ST_Elev_V2_iqr,MAD,7.96
MIMIC-IV,Univariate,ST_Elev_V3,IQR,8.31
MIMIC-IV,Univariate,ST_Elev_V3,Z-Score,0.24
MIMIC-IV,Univariate,ST_Elev_V3,MAD,5.63
MIMIC-IV,Univariate,ST_Elev_V3_count,IQR,1.38
MIMIC-IV,Univariate,ST_Elev_V3_count,Z-Score,0.87
MIMIC-IV,Univariate,ST_Elev_V3_count,MAD,1.37
MIMIC-IV,Univariate,ST_Elev_V3_iqr,IQR,8.26
MIMIC-IV,Univariate,ST_Elev_V3_iqr,Z-Score,0.04
MIMIC-IV,Univariate,ST_Elev_V3_iqr,MAD,8.31
